step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate
76,1.2993059158325195,0.75,,1.391756296157837,0.75,,,,
77,0.9947903156280518,0.75,,1.042801856994629,0.75,,,,
78,1.600235939025879,0.75,,1.1494691371917725,0.75,,,,
79,1.2088491916656494,0.875,,0.738781213760376,0.875,,,,
80,1.2628459930419922,0.75,,1.6666548252105713,0.75,,,,
81,1.431687593460083,0.75,,1.033296823501587,0.875,,,,
82,1.4586737155914307,0.75,,0.630441427230835,0.75,,,,
83,1.3582494258880615,0.75,,1.2511067390441895,0.75,,,,
84,1.4227378368377686,0.75,,1.3218162059783936,0.75,,,,
85,0.9097599983215332,0.75,,1.2518589496612549,0.75,,,,
86,1.1290090084075928,0.75,,1.2477481365203857,0.875,,,,
87,0.7349190711975098,0.875,,1.637955665588379,0.75,,,,
88,0.8342509269714355,0.875,,1.485377311706543,0.75,,,,
89,0.9668533802032471,0.75,,1.3370563983917236,0.75,,,,
90,1.2132670879364014,0.875,,1.1572680473327637,0.75,,,,
91,0.7726507186889648,0.75,,0.6874709129333496,0.875,,,,
92,1.1126806735992432,0.75,,0.6429049968719482,0.875,,,,
93,0.5257213115692139,0.875,,1.4405980110168457,0.75,,,,
94,1.3602588176727295,0.75,,1.4616162776947021,0.75,,,,
95,0.5963602066040039,0.875,,0.6534740924835205,1,,,,
96,0.4822659492492676,0.875,,1.4435906410217285,0.75,,,,
97,1.6690921783447266,0.75,,1.3925879001617432,0.75,,,,
98,0.5691909790039062,0.875,,1.0313432216644287,0.875,,,,
99,0.7576069831848145,0.875,,1.1628875732421875,0.75,,,,
100,1.1051137447357178,0.75,,0.9997522830963135,0.75,,,,
101,1.1382172107696533,0.75,,1.2993192672729492,0.75,,,,
102,0.7375185489654541,0.875,,0.7605941295623779,0.875,,,,
103,0.9104421138763428,0.875,,1.7531208992004395,0.75,,,,
104,1.125474452972412,0.75,,0.8948042392730713,0.875,,,,
105,0.6229159832000732,0.875,,1.0607948303222656,0.75,,,,
106,1.2375483512878418,0.75,,1.3613665103912354,0.75,,,,
107,1.1275067329406738,0.875,,1.8697104454040527,0.75,,,,
108,0.5634944438934326,1,,1.18216872215271,0.75,,,,
109,0.8685336112976074,0.875,,1.1562631130218506,0.75,,,,
110,0.4595203399658203,0.875,,1.159189224243164,0.75,,,,
111,1.6494359970092773,0.75,,0.6245861053466797,0.875,,,,
112,0.9467263221740723,0.75,,1.0272395610809326,0.75,,,,
113,1.1104068756103516,0.875,,1.2462000846862793,0.75,,,,
114,1.124495029449463,0.75,,0.38448214530944824,0.875,,,,
115,1.3332734107971191,0.75,,0.803727388381958,0.875,,,,
116,0.8178856372833252,0.875,,0.93194580078125,0.75,,,,
117,0.8316972255706787,0.75,,1.2317619323730469,0.75,,,,
118,0.9170057773590088,0.875,,1.5769450664520264,0.75,,,,
119,0.550067663192749,0.875,,1.0203423500061035,0.875,,,,
120,0.761725664138794,0.875,,1.1850032806396484,0.75,,,,
121,1.3260362148284912,0.75,,1.0624408721923828,0.875,,,,
122,1.0246787071228027,0.875,,0.6879465579986572,0.875,,,,
123,0.5518717765808105,0.875,,1.3365066051483154,0.75,,,,
124,0.6138346195220947,0.875,,1.2849619388580322,0.75,,,,
125,0.8329832553863525,0.875,,0.9015591144561768,0.875,,,,
126,0.6318824291229248,0.875,,1.4012055397033691,0.75,,,,
